Preschool,{Preschool},"{Preschool, 1st-4th, 5th-6th, 7th-8th}"
1st-4th,"{1st-4th, 5th-6th, 7th-8th}","{Preschool, 1st-4th, 5th-6th, 7th-8th}"
5th-6th,"{1st-4th, 5th-6th, 7th-8th}","{Preschool, 1st-4th, 5th-6th, 7th-8th}"
7th-8th,"{1st-4th, 5th-6th, 7th-8th}","{Preschool, 1st-4th, 5th-6th, 7th-8th}"
9th,"{9th, 10th, 11th, 12th}","{9th, 10th, 11th, 12th, HS-grad}"
10th,"{9th, 10th, 11th, 12th}","{9th, 10th, 11th, 12th, HS-grad}"
11th,"{9th, 10th, 11th, 12th}","{9th, 10th, 11th, 12th, HS-grad}"
12th,"{9th, 10th, 11th, 12th}","{9th, 10th, 11th, 12th, HS-grad}"
HS-grad,{HS-grad},"{9th, 10th, 11th, 12th, HS-grad}"
Assoc-acdm,{Assoc-acdm},"{Assoc-acdm, Assoc-voc}"
Assoc-voc,{Assoc-voc},"{Assoc-acdm, Assoc-voc}"
Prof-school,{Prof-school},"{Prof-school, Some-college}"
Some-college,{Some-college},"{Prof-school, Some-college}"
Bachelors,{Bachelors},"{Bachelors, Masters}"
Masters,{Masters},"{Bachelors, Masters}"
Doctorate,{Doctorate},{Doctorate}
